Epoch [33/50] Train Loss: 1.3337, Train Acc: 60.99 Test Loss (Benign): 2.9282, Test Acc (Benign): 18.67 Test Loss (Poisoned): 0.0464, Test Acc (Poisoned): 98.83
Epoch [34/50] Train Loss: 1.3426, Train Acc: 60.51 Test Loss (Benign): 2.7911, Test Acc (Benign): 20.67 Test Loss (Poisoned): 0.0044, Test Acc (Poisoned): 99.92
Epoch [35/50] Train Loss: 1.2749, Train Acc: 62.96 Test Loss (Benign): 3.1323, Test Acc (Benign): 16.14 Test Loss (Poisoned): 0.0103, Test Acc (Poisoned): 99.89
Epoch [36/50] Train Loss: 1.1980, Train Acc: 63.87 Test Loss (Benign): 2.4705, Test Acc (Benign): 29.12 Test Loss (Poisoned): 0.0113, Test Acc (Poisoned): 99.77
Epoch [37/50] Train Loss: 1.2033, Train Acc: 63.72 Test Loss (Benign): 5.2845, Test Acc (Benign): 10.04 Test Loss (Poisoned): 0.2538, Test Acc (Poisoned): 95.99
Epoch [38/50] Train Loss: 1.1598, Train Acc: 65.33 Test Loss (Benign): 2.5823, Test Acc (Benign): 26.25 Test Loss (Poisoned): 0.0054, Test Acc (Poisoned): 99.91
Epoch [39/50] Train Loss: 1.0915, Train Acc: 66.61 Test Loss (Benign): 2.2442, Test Acc (Benign): 32.34 Test Loss (Poisoned): 0.1583, Test Acc (Poisoned): 96.74
Epoch [40/50] Train Loss: 1.0144, Train Acc: 67.48 Test Loss (Benign): 2.3025, Test Acc (Benign): 34.12 Test Loss (Poisoned): 0.0076, Test Acc (Poisoned): 99.83
Epoch [41/50] Train Loss: 0.9520, Train Acc: 69.74 Test Loss (Benign): 2.0827, Test Acc (Benign): 35.15 Test Loss (Poisoned): 0.0425, Test Acc (Poisoned): 99.15
Epoch [42/50] Train Loss: 0.9442, Train Acc: 69.96 Test Loss (Benign): 2.4700, Test Acc (Benign): 32.19 Test Loss (Poisoned): 0.0023, Test Acc (Poisoned): 99.98
Epoch [43/50] Train Loss: 0.8727, Train Acc: 71.20 Test Loss (Benign): 1.9619, Test Acc (Benign): 38.78 Test Loss (Poisoned): 0.0022, Test Acc (Poisoned): 99.94
Epoch [44/50] Train Loss: 0.8587, Train Acc: 71.75 Test Loss (Benign): 2.4441, Test Acc (Benign): 33.24 Test Loss (Poisoned): 0.0071, Test Acc (Poisoned): 99.84
Epoch [45/50] Train Loss: 0.8429, Train Acc: 73.32 Test Loss (Benign): 1.9190, Test Acc (Benign): 41.91 Test Loss (Poisoned): 0.0028, Test Acc (Poisoned): 99.94
Epoch [46/50] Train Loss: 0.7164, Train Acc: 77.63 Test Loss (Benign): 1.6473, Test Acc (Benign): 46.38 Test Loss (Poisoned): 0.1672, Test Acc (Poisoned): 95.49
Epoch [47/50] Train Loss: 0.6272, Train Acc: 78.61 Test Loss (Benign): 1.5334, Test Acc (Benign): 53.57 Test Loss (Poisoned): 0.0378, Test Acc (Poisoned): 98.65
Epoch [48/50] Train Loss: 0.6003, Train Acc: 80.95 Test Loss (Benign): 1.5587, Test Acc (Benign): 53.81 Test Loss (Poisoned): 0.0023, Test Acc (Poisoned): 99.94
Epoch [49/50] Train Loss: 0.5295, Train Acc: 83.54 Test Loss (Benign): 1.3269, Test Acc (Benign): 57.51 Test Loss (Poisoned): 0.0072, Test Acc (Poisoned): 99.84
Epoch [50/50] Train Loss: 0.4818, Train Acc: 84.85 Test Loss (Benign): 1.1615, Test Acc (Benign): 64.05 Test Loss (Poisoned): 0.0000, Test Acc (Poisoned): 100.00
