0,-45.571187829796905
1,-21.2200194981516
2,-26.14488933487853
3,-185.41687798886878
4,-31.46430755620828
5,-20.93896253940455
6,-78.7031462627751
7,-32.72848857509856
8,-161.35129913933147
9,-46.278743921262496
10,-25.391405469659656
11,-42.28216077230513
12,-36.64219538959416
13,-99.92522738923002
14,-48.5150659966904
15,-24.23584056990215
16,-26.829760194970845
17,-30.1547418983627
18,-46.34579937055838
19,-27.125441366517848
20,-25.69430111197771
21,-176.86809158135407
22,-35.0244919343614
23,-48.17396485527006
24,-32.72422658169282
25,-37.95394285739666
26,-23.950221358957577
27,-22.535397283782032
28,-35.22203629239368
29,-33.66009207455001
30,-95.51906188020888
31,-36.96373165851082
32,-31.525567325992487
33,-21.2200194981516
34,-26.14488933487853
35,-185.41687798886878
36,-31.46430755620828
37,-20.93896253940455
38,-78.7031462627751
39,-32.72848857509856
40,-161.35129913933147
41,-46.278743921262496
42,-25.391405469659656
43,-42.28216077230513
44,-36.64219538959416
45,-99.92522738923002
46,-48.5150659966904
47,-24.23584056990215
48,-26.829760194970845
49,-30.1547418983627
50,-46.34579937055838
51,-27.125441366517848
52,-25.69430111197771
53,-176.86809158135407
54,-35.0244919343614
55,-48.17396485527006
56,-32.72422658169282
57,-37.95394285739666
58,-23.950221358957577
59,-22.535397283782032
60,-35.22203629239368
61,-33.66009207455001
62,-95.51906188020888
63,-36.96373165851082
64,-31.525567325992487
65,-21.2200194981516
66,-26.14488933487853
67,-185.41687798886878
68,-31.46430755620828
69,-20.93896253940455
70,-78.7031462627751
71,-32.72848857509856
72,-161.35129913933147
73,-46.278743921262496
74,-25.391405469659656
75,-42.28216077230513
76,-36.64219538959416
77,-99.92522738923002
78,-48.5150659966904
79,-24.23584056990215
80,-26.829760194970845
81,-30.1547418983627
82,-46.34579937055838
83,-27.125441366517848
84,-25.69430111197771
85,-176.86809158135407
86,-35.0244919343614
87,-48.17396485527006
88,-32.72422658169282
89,-37.95394285739666
90,-23.950221358957577
91,-22.535397283782032
92,-35.22203629239368
93,-33.66009207455001
94,-95.51906188020888
95,-36.96373165851082
96,-31.525567325992487
97,-21.2200194981516
98,-26.14488933487853
99,-185.41687798886878
